"X","Y","Lag","N","F_stat","p_value","Sig","Regime"
"SOFR_EFFR","d_Baa",1,309,0.361,0.5483,"","Stress"
"SOFR_EFFR","d_Baa",5,309,0.53,0.7537,"","Stress"
"SOFR_EFFR","d_Aaa",1,309,0.011,0.9167,"","Stress"
"SOFR_EFFR","d_Aaa",5,309,0.635,0.673,"","Stress"
"SOFR_EFFR","d_Baa_Aaa",1,309,1.934,0.1654,"","Stress"
"SOFR_EFFR","d_Baa_Aaa",5,309,1.188,0.3151,"","Stress"
"d_Reserves","d_Baa",1,309,0.042,0.8373,"","Stress"
"d_Reserves","d_Baa",5,309,0.133,0.9847,"","Stress"
"d_Reserves","d_Aaa",1,309,1.917,0.1672,"","Stress"
"d_Reserves","d_Aaa",5,309,1.376,0.2334,"","Stress"
"d_Reserves","d_Baa_Aaa",1,309,6.571,0.0108,"**","Stress"
"d_Reserves","d_Baa_Aaa",5,309,2.706,0.0208,"**","Stress"
"d_TGA","d_Baa",1,309,0,0.9979,"","Stress"
"d_TGA","d_Baa",5,309,0.093,0.9932,"","Stress"
"d_TGA","d_Aaa",1,309,0.122,0.7271,"","Stress"
"d_TGA","d_Aaa",5,309,0.285,0.9213,"","Stress"
"d_TGA","d_Baa_Aaa",1,309,0,0.9931,"","Stress"
"d_TGA","d_Baa_Aaa",5,309,0.52,0.761,"","Stress"
"SOFR_EFFR","d_Baa",1,1695,3.553,0.0596,"*","Calm"
"SOFR_EFFR","d_Baa",5,1695,1.491,0.1895,"","Calm"
"SOFR_EFFR","d_Aaa",1,1695,8.631,0.0033,"***","Calm"
"SOFR_EFFR","d_Aaa",5,1695,2.865,0.0139,"**","Calm"
"SOFR_EFFR","d_Baa_Aaa",1,1695,2.868,0.0905,"*","Calm"
"SOFR_EFFR","d_Baa_Aaa",5,1695,1.517,0.1813,"","Calm"
"d_Reserves","d_Baa",1,1695,3.729,0.0537,"*","Calm"
"d_Reserves","d_Baa",5,1695,1.493,0.189,"","Calm"
"d_Reserves","d_Aaa",1,1695,4.977,0.0258,"**","Calm"
"d_Reserves","d_Aaa",5,1695,1.606,0.1553,"","Calm"
"d_Reserves","d_Baa_Aaa",1,1695,0.544,0.461,"","Calm"
"d_Reserves","d_Baa_Aaa",5,1695,0.339,0.8893,"","Calm"
"d_TGA","d_Baa",1,1695,2.1,0.1475,"","Calm"
"d_TGA","d_Baa",5,1695,0.45,0.8134,"","Calm"
"d_TGA","d_Aaa",1,1695,0.375,0.5405,"","Calm"
"d_TGA","d_Aaa",5,1695,2.061,0.0676,"*","Calm"
"d_TGA","d_Baa_Aaa",1,1695,4.379,0.0365,"**","Calm"
"d_TGA","d_Baa_Aaa",5,1695,5.419,1e-04,"***","Calm"
